CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1970-12-01 00:00,mm,19,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1971-01-01 00:00,mm,124,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1971-02-01 00:00,mm,62,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1971-03-01 00:00,mm,78,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1971-04-01 00:00,mm,96,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1971-05-01 00:00,mm,234,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1971-06-01 00:00,mm,15,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1971-07-01 00:00,mm,17,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1971-08-01 00:00,mm,65,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1971-09-01 00:00,mm,92,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1971-10-01 00:00,mm,144,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1971-11-01 00:00,mm,32,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1971-12-01 00:00,mm,21,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1972-01-01 00:00,mm,12,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1972-02-01 00:00,mm,40,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1972-03-01 00:00,mm,40,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1972-04-01 00:00,mm,165,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1972-05-01 00:00,mm,146,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1972-06-01 00:00,mm,101,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1972-07-01 00:00,mm,4,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1972-08-01 00:00,mm,40,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1972-09-01 00:00,mm,68,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1972-10-01 00:00,mm,83,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1972-11-01 00:00,mm,29,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1972-12-01 00:00,mm,16,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1973-01-01 00:00,mm,9,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1973-02-01 00:00,mm,10,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1973-03-01 00:00,mm,30,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1973-04-01 00:00,mm,59,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1973-05-01 00:00,mm,18,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1973-06-01 00:00,mm,40,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1973-07-01 00:00,mm,50,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1973-08-01 00:00,mm,37,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1973-09-01 00:00,mm,45,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1973-10-01 00:00,mm,75,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1973-11-01 00:00,mm,59,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1973-12-01 00:00,mm,0,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1974-01-01 00:00,mm,85,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1974-02-01 00:00,mm,26,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1974-03-01 00:00,mm,56,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1974-04-01 00:00,mm,138,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1974-05-01 00:00,mm,138,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1974-06-01 00:00,mm,8,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1974-07-01 00:00,mm,47,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1974-08-01 00:00,mm,58,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1974-09-01 00:00,mm,78,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1974-10-01 00:00,mm,93,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1974-11-01 00:00,mm,69,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1974-12-01 00:00,mm,0,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1975-01-01 00:00,mm,15,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1975-02-01 00:00,mm,86,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1975-03-01 00:00,mm,10,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1975-04-01 00:00,mm,88,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1975-05-01 00:00,mm,129,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1975-06-01 00:00,mm,59,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1975-07-01 00:00,mm,106,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1975-08-01 00:00,mm,47,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1975-09-01 00:00,mm,95,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1975-10-01 00:00,mm,98,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1975-11-01 00:00,mm,82,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1975-12-01 00:00,mm,79,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1976-01-01 00:00,mm,15,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1976-02-01 00:00,mm,75,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1976-03-01 00:00,mm,100,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1976-04-01 00:00,mm,113,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1976-05-01 00:00,mm,150,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1976-06-01 00:00,mm,96,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1976-07-01 00:00,mm,87,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1976-08-01 00:00,mm,159,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1976-09-01 00:00,mm,136,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1976-10-01 00:00,mm,185,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1976-11-01 00:00,mm,46,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1976-12-01 00:00,mm,22,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1977-01-01 00:00,mm,30,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1977-03-01 00:00,mm,88,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1977-04-01 00:00,mm,78,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1977-05-01 00:00,mm,168,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1977-06-01 00:00,mm,162,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1977-07-01 00:00,mm,107,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1977-08-01 00:00,mm,130,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1977-09-01 00:00,mm,88,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1977-10-01 00:00,mm,120,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1977-11-01 00:00,mm,143,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1977-12-01 00:00,mm,64,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1978-01-01 00:00,mm,30.7,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1978-02-01 00:00,mm,61,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1978-03-01 00:00,mm,114,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1978-04-01 00:00,mm,153,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1978-05-01 00:00,mm,139,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1978-06-01 00:00,mm,74,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1978-07-01 00:00,mm,45,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1978-08-01 00:00,mm,97,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1978-09-01 00:00,mm,96,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1978-10-01 00:00,mm,141,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1978-11-01 00:00,mm,38,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1978-12-01 00:00,mm,15,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1979-01-01 00:00,mm,47,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1979-02-01 00:00,mm,42,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1979-03-01 00:00,mm,35,Preliminar
24030300,CEPITA [24030300],PRECIPITACION,Precipitación total mensual,1979-04-01 00:00,mm,178,Preliminar
